step,magnetization,energy,acceptance
177,0.118112,-88184.0,0.204432
178,0.118144,-88512.0,0.19688
179,0.128256,-88476.0,0.200384
180,0.12896,-87688.0,0.200192
181,0.12912,-87980.0,0.20232
182,0.121184,-87500.0,0.202208
183,0.118784,-88116.0,0.20328
184,0.1208,-87272.0,0.206736
185,0.112256,-87372.0,0.206512
186,0.11312,-86816.0,0.206992
187,0.106688,-86940.0,0.20856
188,0.10272,-86508.0,0.20944
189,0.111552,-87276.0,0.209312
190,0.119264,-86924.0,0.207632
191,0.111904,-87332.0,0.205152
192,0.117024,-88276.0,0.203072
193,0.118336,-87452.0,0.20376
194,0.122432,-87244.0,0.20496
195,0.121696,-86992.0,0.203184
196,0.130912,-87904.0,0.204384
197,0.130208,-88624.0,0.199904
198,0.135968,-88604.0,0.194656
199,0.139232,-88288.0,0.195616
200,0.140992,-87512.0,0.200464
201,0.1368,-86812.0,0.207152
202,0.140704,-87212.0,0.207328
203,0.13392,-87228.0,0.205312
204,0.128,-86912.0,0.20472
205,0.120352,-87736.0,0.202864
206,0.120928,-86964.0,0.206592
207,0.127232,-87324.0,0.208784
208,0.136032,-87628.0,0.207472
209,0.12656,-87108.0,0.207136
210,0.137568,-87840.0,0.207456
211,0.13984,-87040.0,0.2044
212,0.137984,-87168.0,0.20608
213,0.1424,-87632.0,0.203904
214,0.13696,-87548.0,0.203776
215,0.133632,-86892.0,0.204864
216,0.134464,-86396.0,0.208608
217,0.133824,-86740.0,0.209344
218,0.137344,-87848.0,0.20544
219,0.145248,-87548.0,0.203472
220,0.137152,-86532.0,0.20808
221,0.14016,-87080.0,0.207232
222,0.148864,-87348.0,0.20528
223,0.152032,-87448.0,0.206704
224,0.144992,-87072.0,0.206656
225,0.145568,-86920.0,0.20496
226,0.14704,-86160.0,0.208992
227,0.149664,-85840.0,0.213088
228,0.143872,-85828.0,0.21256
229,0.150688,-85756.0,0.2148
230,0.141952,-86016.0,0.21544
231,0.154336,-87140.0,0.207856
232,0.146176,-86744.0,0.207056
233,0.148928,-87092.0,0.210144
234,0.148608,-87248.0,0.207584
235,0.14944,-86256.0,0.209568
236,0.138816,-86348.0,0.213088
237,0.132,-87100.0,0.208176
238,0.13152,-88040.0,0.206192
239,0.124672,-86888.0,0.20704
240,0.119328,-86760.0,0.209232
241,0.122944,-87400.0,0.206256
242,0.130656,-87868.0,0.204816
243,0.137568,-87344.0,0.204448
244,0.1528,-87388.0,0.204448
245,0.148032,-87000.0,0.20648
246,0.144928,-86620.0,0.207504
247,0.143136,-87032.0,0.206944
248,0.136704,-87384.0,0.203344
249,0.136256,-87452.0,0.201792
250,0.120352,-87312.0,0.206448
251,0.131232,-87432.0,0.207296
252,0.13344,-87692.0,0.203472
253,0.142592,-86884.0,0.205728
254,0.14992,-86964.0,0.208848
255,0.145088,-87280.0,0.20712
256,0.150464,-86836.0,0.20736
257,0.15232,-86648.0,0.206656
258,0.159808,-87568.0,0.207936
259,0.166464,-86740.0,0.207296
260,0.161888,-87172.0,0.210192
261,0.158368,-87412.0,0.205376
262,0.15136,-86748.0,0.203792
263,0.149568,-87092.0,0.206912
264,0.144736,-87108.0,0.206192
265,0.142656,-87300.0,0.205712
266,0.1456,-87552.0,0.204544
267,0.140192,-86936.0,0.2068
268,0.139936,-87108.0,0.208256
269,0.142624,-87724.0,0.204448
270,0.139232,-88076.0,0.203712
271,0.13344,-88080.0,0.201584
272,0.129088,-86992.0,0.204576
273,0.126592,-86904.0,0.207392
274,0.123296,-86660.0,0.209328
275,0.120128,-87408.0,0.207568
276,0.111424,-86696.0,0.207168
277,0.116,-87224.0,0.207152
278,0.135584,-87288.0,0.206048
279,0.145888,-86988.0,0.20608
280,0.154848,-87112.0,0.206944
281,0.163296,-86976.0,0.208352
282,0.172512,-87128.0,0.206688
283,0.168864,-86920.0,0.208768
284,0.15872,-87532.0,0.207248
285,0.171424,-87556.0,0.203056
286,0.173728,-87924.0,0.200864
287,0.170592,-87324.0,0.204608
288,0.168768,-87680.0,0.203696
289,0.16544,-87500.0,0.206656
290,0.176416,-87568.0,0.206032
291,0.165376,-87112.0,0.205808
292,0.16144,-87208.0,0.205232
293,0.164736,-87896.0,0.20216
294,0.165472,-87936.0,0.20136
295,0.164128,-87532.0,0.203488
296,0.162592,-87628.0,0.203616
297,0.162048,-87400.0,0.20296
298,0.162208,-87724.0,0.20488
299,0.164544,-86892.0,0.20344
300,0.166144,-87152.0,0.205792
301,0.160576,-88232.0,0.20128
302,0.1504,-88476.0,0.199392
303,0.1376,-87648.0,0.200512
304,0.12928,-88248.0,0.201216
305,0.131008,-88568.0,0.201632
306,0.129216,-88540.0,0.199104
307,0.144608,-88552.0,0.198128
308,0.145888,-89468.0,0.19728
309,0.14592,-88420.0,0.19896
310,0.14544,-88564.0,0.19848
311,0.151072,-87356.0,0.202016
312,0.15328,-87472.0,0.20488
313,0.150272,-86536.0,0.20752
314,0.147904,-86464.0,0.208768
315,0.148512,-86512.0,0.212176
316,0.138688,-86244.0,0.209968
317,0.139744,-86296.0,0.212496
318,0.129696,-87572.0,0.206592
319,0.129408,-87816.0,0.201776
320,0.130432,-87768.0,0.200576
321,0.129856,-87092.0,0.204992
322,0.119648,-86300.0,0.2068
323,0.127968,-86568.0,0.210624
324,0.130528,-86956.0,0.208992
325,0.124992,-86964.0,0.207056
326,0.122208,-87100.0,0.20696
327,0.118112,-86884.0,0.206304
328,0.119104,-87324.0,0.20744
329,0.119552,-86980.0,0.205088
330,0.123488,-87316.0,0.20872
331,0.119456,-88276.0,0.20128
332,0.121696,-88052.0,0.20272
333,0.124544,-87764.0,0.202736
334,0.124352,-87440.0,0.205248
335,0.123712,-86720.0,0.207072
336,0.120672,-87164.0,0.206736
337,0.134592,-87264.0,0.207472
338,0.14048,-87536.0,0.203456
339,0.139968,-86956.0,0.204832
340,0.13488,-86480.0,0.211216
341,0.130624,-86296.0,0.212208
342,0.12736,-87072.0,0.209504
343,0.115456,-86468.0,0.208192
344,0.12928,-87448.0,0.207584
345,0.1408,-86660.0,0.206848
346,0.136928,-86276.0,0.208112
347,0.144672,-87112.0,0.210272
348,0.137408,-86904.0,0.208336
349,0.135296,-86744.0,0.20992
350,0.140928,-87092.0,0.207776
351,0.14128,-86804.0,0.206768
352,0.140832,-87128.0,0.207616
353,0.141728,-87016.0,0.208448
354,0.126976,-86820.0,0.208048
355,0.125024,-86504.0,0.210448
356,0.12528,-85992.0,0.211392
357,0.13344,-86832.0,0.21016
358,0.122368,-86636.0,0.208896
359,0.124608,-86672.0,0.211648
360,0.132864,-86916.0,0.20944
361,0.138592,-86932.0,0.207952
362,0.137696,-87432.0,0.205504
363,0.1408,-86984.0,0.206384
364,0.155456,-87336.0,0.208448
365,0.160448,-88112.0,0.20288
366,0.152352,-87768.0,0.19912
367,0.15216,-87440.0,0.205088
368,0.155264,-86968.0,0.205104
369,0.14784,-87708.0,0.207744
370,0.149312,-87352.0,0.203552
371,0.141024,-87676.0,0.20664
372,0.14192,-87028.0,0.2032
373,0.139328,-85924.0,0.211088
374,0.132288,-87192.0,0.21072
375,0.133952,-87328.0,0.203392
376,0.133824,-87148.0,0.206976
377,0.123296,-86808.0,0.208272
378,0.127328,-86780.0,0.208352
379,0.124864,-85988.0,0.209232
380,0.123648,-86744.0,0.210848
381,0.120864,-86804.0,0.208912
382,0.119232,-86672.0,0.209712
383,0.117984,-86788.0,0.20744
384,0.114176,-86260.0,0.209104
385,0.12128,-86080.0,0.213024
386,0.116288,-85652.0,0.218208
387,0.104352,-85864.0,0.216208
388,0.117984,-86032.0,0.210496
389,0.120576,-86348.0,0.2132
390,0.12064,-86316.0,0.212736
391,0.112512,-85688.0,0.216192
392,0.111296,-85476.0,0.218176
393,0.108896,-85456.0,0.220048
394,0.10896,-84760.0,0.220384
395,0.111072,-85380.0,0.21632
396,0.11184,-85596.0,0.21584
397,0.1072,-86588.0,0.211984
398,0.103648,-87136.0,0.207376
399,0.094944,-86580.0,0.20848
400,0.098176,-87380.0,0.206832
401,0.102048,-86644.0,0.206992
402,0.09728,-86164.0,0.210608
403,0.103872,-85136.0,0.213792
404,0.109888,-84804.0,0.218208
405,0.107168,-85964.0,0.212944
406,0.117184,-86212.0,0.21176
407,0.115392,-85780.0,0.215776
408,0.124608,-85868.0,0.21024
409,0.132352,-86044.0,0.213664
410,0.13248,-86204.0,0.212672
411,0.127456,-87088.0,0.20648
412,0.122016,-87244.0,0.206112
413,0.122976,-86728.0,0.207232
414,0.123904,-87204.0,0.20712
415,0.121664,-87004.0,0.206912
416,0.123296,-86488.0,0.2076
417,0.122656,-86424.0,0.208832
418,0.1176,-86428.0,0.211584
419,0.115456,-86348.0,0.211248
420,0.12704,-85724.0,0.21312
421,0.12496,-85928.0,0.213872
422,0.120864,-85912.0,0.216544
423,0.12512,-85400.0,0.21848
424,0.126656,-85380.0,0.218944
425,0.12144,-86332.0,0.214896
426,0.127712,-86448.0,0.213536
427,0.123296,-86480.0,0.211712
428,0.114976,-86116.0,0.212224
429,0.10816,-86304.0,0.211248
430,0.10816,-86124.0,0.215104
431,0.111936,-85724.0,0.217696
432,0.11136,-85232.0,0.216544
433,0.109152,-85576.0,0.214576
434,0.108544,-85464.0,0.214736
435,0.113984,-86356.0,0.21664
436,0.116896,-86376.0,0.208432
437,0.126496,-87164.0,0.208224
438,0.133184,-87316.0,0.207472
439,0.128,-86784.0,0.206368
440,0.126272,-86424.0,0.208736
441,0.127232,-86540.0,0.210848
442,0.131808,-86460.0,0.20968
443,0.130048,-85952.0,0.211024
444,0.125376,-85756.0,0.213024
445,0.134624,-86236.0,0.212912
446,0.135872,-86452.0,0.210096
447,0.135616,-86948.0,0.20896
448,0.13392,-87136.0,0.205936
449,0.14336,-86600.0,0.208848
450,0.139712,-86484.0,0.20832
451,0.135232,-86284.0,0.21168
452,0.144448,-86284.0,0.21136
453,0.139488,-85592.0,0.214608
454,0.141344,-85828.0,0.216096
455,0.148064,-86840.0,0.21136
456,0.14432,-86184.0,0.21144
457,0.146304,-86152.0,0.215968
458,0.145536,-86256.0,0.212288
459,0.147392,-87144.0,0.208768
460,0.147776,-86580.0,0.20736
461,0.136416,-86284.0,0.212496
462,0.129728,-86784.0,0.211056
463,0.130624,-85876.0,0.211328
464,0.137024,-86684.0,0.211072
465,0.137888,-86296.0,0.208464
466,0.13968,-85924.0,0.213312
467,0.134496,-86012.0,0.214272
468,0.130592,-86892.0,0.212832
469,0.137376,-87336.0,0.205984
470,0.13584,-86196.0,0.208544
471,0.131296,-86908.0,0.210304
472,0.141632,-86936.0,0.209072
473,0.145088,-86376.0,0.208704
474,0.152128,-86036.0,0.215552
475,0.138144,-85724.0,0.2148
476,0.143808,-86092.0,0.217392
477,0.142048,-85436.0,0.215504
478,0.144544,-85984.0,0.21664
479,0.138688,-86792.0,0.21032
480,0.14768,-87124.0,0.207344
481,0.156224,-86780.0,0.208272
482,0.160064,-86772.0,0.205856
483,0.15792,-87392.0,0.207248
484,0.166272,-87040.0,0.207376
485,0.177216,-86616.0,0.212672
486,0.18144,-88072.0,0.207104
487,0.188,-87888.0,0.202576
488,0.183328,-87972.0,0.203072
489,0.178208,-87048.0,0.205248
490,0.17664,-86636.0,0.206224
491,0.173696,-86776.0,0.210624
492,0.168608,-87108.0,0.209232
493,0.160608,-87248.0,0.205824
494,0.158912,-86748.0,0.20856
495,0.151296,-86436.0,0.208896
496,0.148576,-86212.0,0.212624
497,0.142112,-86364.0,0.211232
498,0.148768,-86264.0,0.210944
499,0.147936,-86736.0,0.210016
500,0.1432,-86892.0,0.20864
501,0.140608,-86332.0,0.20984
502,0.12704,-86516.0,0.207968
503,0.119264,-86240.0,0.210032
504,0.110304,-86408.0,0.212992
505,0.10992,-85476.0,0.211392
506,0.11056,-85460.0,0.213792
507,0.111136,-85972.0,0.214112
508,0.112768,-86692.0,0.20936
509,0.110848,-86060.0,0.207968
510,0.103424,-86148.0,0.212128
511,0.09552,-85908.0,0.212624
512,0.089984,-85836.0,0.21288
513,0.084704,-85052.0,0.218096
514,0.089088,-85752.0,0.217136
515,0.085984,-86136.0,0.211952
516,0.086816,-86084.0,0.212416
517,0.076032,-85304.0,0.215408
518,0.068608,-85884.0,0.213184
519,0.069632,-85564.0,0.2136
520,0.073312,-85652.0,0.214448
521,0.081152,-86108.0,0.21512
522,0.080288,-85684.0,0.212336
523,0.07856,-86040.0,0.212512
524,0.086816,-86408.0,0.210304
525,0.09328,-86108.0,0.211296
526,0.085888,-85480.0,0.214128
527,0.090912,-86384.0,0.212752
528,0.097184,-86692.0,0.211392
