step,magnetization,energy,acceptance
775,0.043424,-85544.0,0.214736
776,0.04592,-86016.0,0.21632
777,0.04016,-86412.0,0.210752
778,0.0472,-86540.0,0.208928
779,0.039584,-86628.0,0.209248
780,0.041824,-86884.0,0.205952
781,0.045536,-86364.0,0.210816
782,0.044704,-86884.0,0.214528
783,0.035936,-86404.0,0.21072
784,0.0296,-86504.0,0.211456
785,0.0304,-86536.0,0.211696
786,0.030368,-86520.0,0.20904
787,0.01648,-86344.0,0.209696
788,0.015744,-86088.0,0.21384
789,0.023904,-87120.0,0.21016
790,0.029312,-87148.0,0.208144
791,0.02352,-87404.0,0.2044
792,0.024896,-88360.0,0.20296
793,0.02736,-88412.0,0.19816
794,0.025792,-87880.0,0.200496
795,0.013056,-87832.0,0.204
796,0.011104,-87604.0,0.202704
797,0.014048,-87884.0,0.205408
798,0.016832,-87724.0,0.200976
799,0.01408,-87476.0,0.20336
800,0.019904,-87984.0,0.202816
801,0.030976,-87364.0,0.203808
802,0.027904,-87200.0,0.20352
803,0.030624,-87168.0,0.204496
804,0.021664,-87784.0,0.204672
805,0.02752,-87220.0,0.204272
806,0.021024,-87968.0,0.203024
807,0.008256,-87512.0,0.204048
808,0.013184,-87716.0,0.203776
809,0.011072,-86900.0,0.2048
810,0.00224,-87156.0,0.207552
811,0.01072,-87180.0,0.206224
812,-0.003424,-87432.0,0.206112
813,-0.005984,-87272.0,0.205728
814,-0.002848,-87520.0,0.204416
815,-0.005504,-87532.0,0.20392
816,-0.007072,-87156.0,0.20536
817,0.002048,-87592.0,0.205808
818,0.002496,-87972.0,0.20208
819,0.004096,-87880.0,0.203232
820,0.00896,-87092.0,0.203424
821,0.010016,-86652.0,0.208592
822,-0.004,-88356.0,0.2064
823,-0.003904,-89000.0,0.198032
824,-0.000192,-88332.0,0.200864
825,-0.00544,-88240.0,0.19904
826,-0.004896,-87604.0,0.200752
827,-0.011456,-87204.0,0.205936
828,-0.001952,-87068.0,0.20808
829,-0.005408,-87248.0,0.205056
830,-0.0032,-87480.0,0.2052
831,0.015104,-87376.0,0.208416
832,0.012736,-87704.0,0.205152
833,0.01312,-86572.0,0.2072
834,0.001504,-87124.0,0.208784
835,-0.012544,-87336.0,0.20904
836,-0.003744,-87040.0,0.205904
837,-0.006432,-86504.0,0.20688
838,-0.01104,-86560.0,0.210304
839,-0.014688,-86540.0,0.21216
840,-0.020032,-86740.0,0.208784
841,-0.017856,-86856.0,0.208704
842,-0.012064,-87640.0,0.204496
843,-0.00384,-87208.0,0.20424
844,0.006752,-86400.0,0.210448
845,0.0024,-86252.0,0.213472
846,0.006496,-86152.0,0.213408
847,0.01792,-86024.0,0.212784
848,0.00896,-86420.0,0.214816
849,0.02304,-85960.0,0.212736
850,0.026272,-86136.0,0.210608
851,0.02416,-87440.0,0.208704
852,0.01936,-87432.0,0.203136
853,0.023936,-86980.0,0.209456
854,0.029248,-86960.0,0.209952
855,0.03328,-87288.0,0.206688
856,0.032416,-87236.0,0.20616
857,0.034528,-87488.0,0.204352
858,0.027232,-87292.0,0.206304
859,0.019808,-86952.0,0.208832
860,0.018496,-86820.0,0.208176
861,0.029952,-87220.0,0.207648
862,0.0256,-87080.0,0.208224
863,0.029248,-87392.0,0.205312
864,0.037728,-87536.0,0.204048
865,0.040608,-87152.0,0.206816
866,0.040448,-87088.0,0.204816
867,0.056096,-87644.0,0.204912
868,0.053536,-87832.0,0.202912
869,0.062848,-86620.0,0.204752
870,0.06144,-86964.0,0.20912
871,0.055712,-86904.0,0.209456
872,0.060672,-86060.0,0.208912
873,0.060608,-86492.0,0.211712
874,0.060032,-86624.0,0.21072
875,0.050816,-85988.0,0.210816
876,0.043072,-85564.0,0.212576
877,0.04816,-85324.0,0.213648
878,0.047712,-85856.0,0.214816
879,0.055328,-85344.0,0.215392
880,0.05648,-85880.0,0.21696
881,0.054656,-87164.0,0.209072
882,0.057824,-86972.0,0.20712
883,0.061664,-87220.0,0.206752
884,0.06352,-86932.0,0.208896
885,0.05488,-85696.0,0.2128
886,0.065504,-85748.0,0.214144
887,0.067776,-86304.0,0.21448
888,0.066144,-86656.0,0.210928
889,0.066272,-86500.0,0.212096
890,0.071712,-86672.0,0.209824
891,0.076864,-86888.0,0.20872
892,0.092928,-87296.0,0.207616
893,0.087168,-85928.0,0.207456
894,0.079808,-85564.0,0.21184
895,0.088544,-85968.0,0.21528
896,0.082816,-86088.0,0.213744
897,0.072096,-86632.0,0.208784
898,0.07456,-86168.0,0.212144
899,0.079456,-86192.0,0.211056
900,0.077024,-86100.0,0.213824
901,0.084448,-85668.0,0.216032
902,0.07648,-85804.0,0.216304
903,0.078752,-86032.0,0.21432
904,0.086944,-86748.0,0.209952
905,0.085632,-85428.0,0.21272
906,0.085568,-86192.0,0.21488
907,0.076192,-86188.0,0.213072
908,0.064736,-86680.0,0.212448
909,0.071168,-85964.0,0.213744
910,0.062048,-86856.0,0.210576
911,0.041344,-87064.0,0.207248
912,0.041216,-86688.0,0.209696
913,0.044224,-87264.0,0.208544
914,0.031136,-86904.0,0.206256
915,0.031808,-87088.0,0.206896
916,0.041824,-87040.0,0.2092
917,0.03952,-86596.0,0.20816
918,0.03952,-87112.0,0.208224
919,0.044544,-86732.0,0.206064
920,0.047424,-86244.0,0.209728
921,0.041184,-86600.0,0.209072
922,0.04912,-86860.0,0.204992
923,0.049856,-86040.0,0.2092
924,0.052992,-86188.0,0.210688
925,0.04336,-87044.0,0.2092
926,0.043904,-86944.0,0.20872
927,0.058112,-86308.0,0.208864
928,0.050432,-86196.0,0.212896
929,0.044416,-85828.0,0.213152
930,0.0416,-86560.0,0.211776
931,0.025696,-86924.0,0.210896
932,0.024576,-87188.0,0.20664
933,0.024512,-87692.0,0.206656
934,0.025472,-87128.0,0.206048
935,0.023616,-86880.0,0.207008
936,0.01088,-87020.0,0.207008
937,0.009088,-87188.0,0.204256
938,0.007712,-86760.0,0.209776
939,0.002016,-86040.0,0.211552
940,0.003456,-86668.0,0.211184
941,0.000224,-86472.0,0.208176
942,-0.004096,-86348.0,0.211408
943,-0.000608,-86644.0,0.210192
944,0.000384,-87000.0,0.209264
945,0.007584,-86624.0,0.209936
946,0.004064,-86596.0,0.21168
947,0.012416,-87588.0,0.205488
948,0.019104,-86480.0,0.206416
949,0.02432,-86964.0,0.207376
950,0.028128,-86708.0,0.209392
951,0.022304,-86172.0,0.211456
952,0.02544,-86348.0,0.212128
953,0.02304,-85584.0,0.210608
954,0.019712,-85984.0,0.211808
955,0.022688,-85584.0,0.21256
956,0.02512,-86228.0,0.214368
957,0.02784,-85636.0,0.215376
958,0.01952,-86404.0,0.212608
959,0.013024,-86324.0,0.212624
960,0.009632,-85904.0,0.214816
961,0.007808,-86244.0,0.211568
962,0.003872,-86424.0,0.209424
963,0.006528,-87148.0,0.206896
964,0.018816,-86668.0,0.206912
965,0.027168,-86600.0,0.209968
966,0.027488,-86700.0,0.211648
967,0.035072,-86136.0,0.211248
968,0.048864,-85516.0,0.214896
969,0.046816,-85544.0,0.215936
970,0.047712,-86032.0,0.2144
971,0.052864,-85672.0,0.214576
972,0.062432,-86032.0,0.215952
973,0.050816,-86040.0,0.212976
974,0.06352,-86420.0,0.213072
975,0.064448,-86260.0,0.211472
976,0.063648,-86700.0,0.210288
977,0.071968,-86624.0,0.209312
978,0.072672,-86076.0,0.210944
979,0.076672,-86632.0,0.209904
980,0.08192,-86776.0,0.210208
981,0.075552,-85712.0,0.211472
982,0.069696,-85532.0,0.21448
983,0.074176,-85556.0,0.214112
984,0.083328,-85556.0,0.215552
985,0.077856,-87068.0,0.213392
986,0.081856,-86952.0,0.209392
987,0.086624,-86992.0,0.209328
988,0.085632,-87356.0,0.205552
989,0.07488,-86944.0,0.208288
990,0.078176,-86784.0,0.207152
991,0.081024,-86668.0,0.207504
992,0.08768,-86100.0,0.209056
993,0.091552,-86748.0,0.211056
994,0.08464,-86164.0,0.209472
995,0.087968,-86448.0,0.21264
996,0.077888,-86672.0,0.213136
997,0.066272,-86144.0,0.211824
998,0.069728,-86976.0,0.211648
999,0.074176,-86956.0,0.209456
